gen,stage,mean_fit,max_fit,sigma,eval_return,arrivals,charged,cells,bumps,fell,flat,secs
805,3,326.92,405.13,0.0609,,,,,,,,5.56
806,3,114.53,176.54,0.0608,,,,,,,,6.02
807,3,326.74,409.76,0.0608,,,,,,,,5.05
808,3,213.2,274.2,0.0607,,,,,,,,5.61
809,3,182.8,266.76,0.0606,232.47,1.917,0.235,10.5,8.92,0.0,0.083,6.74
810,3,161.45,259.26,0.0606,,,,,,,,5.83
811,3,375.15,476.32,0.0605,,,,,,,,5.65
812,3,222.28,290.82,0.0605,,,,,,,,6.12
813,3,168.92,243.1,0.0604,,,,,,,,5.66
814,3,216.9,287.03,0.0603,206.92,1.667,0.199,10.17,6.75,0.167,0.083,6.11
815,3,190.75,281.7,0.0603,,,,,,,,6.53
816,3,218.85,276.37,0.0602,,,,,,,,6.97
817,3,261.24,322.09,0.0602,,,,,,,,5.53
818,3,198.0,261.28,0.0601,,,,,,,,5.28
819,3,296.96,365.68,0.06,205.33,1.667,0.221,10.25,13.08,0.167,0.0,5.47
820,3,288.37,385.84,0.06,,,,,,,,5.1
821,3,174.29,249.54,0.0599,,,,,,,,5.64
822,3,190.02,275.73,0.0599,,,,,,,,6.21
823,3,238.97,305.13,0.0598,,,,,,,,5.73
824,3,289.29,372.74,0.0597,249.39,2.25,0.2,11.25,5.0,0.0,0.083,5.62
825,3,154.86,199.85,0.0597,,,,,,,,6.19
826,3,224.52,306.18,0.0596,,,,,,,,5.45
827,3,181.88,254.43,0.0596,,,,,,,,4.81
828,3,174.66,241.25,0.0595,,,,,,,,5.66
829,3,188.67,258.81,0.0594,208.79,2.25,0.116,10.67,13.08,0.0,0.25,5.51
830,3,296.03,387.86,0.0594,,,,,,,,6.05
831,3,210.42,282.69,0.0593,,,,,,,,5.69
832,3,123.33,201.02,0.0593,,,,,,,,6.3
833,3,224.25,286.78,0.0592,,,,,,,,5.77
834,3,174.67,246.93,0.0591,187.18,1.833,0.185,9.33,21.92,0.0,0.083,5.28
835,3,236.38,336.18,0.0591,,,,,,,,6.12
836,3,164.05,219.46,0.059,,,,,,,,6.28
837,3,273.83,341.37,0.059,,,,,,,,6.45
838,3,183.72,278.85,0.0589,,,,,,,,6.42
